Grenada,Population,SNA93 Table Code,Sub Group,GDP,SNA93 Item Code,Year,Series,Currency,SNA System,Fiscal Year Type,Value,Year,Value,Value,Year,Item,Value.E,Expenditure ,Value,Year,Industry,Value_I,Year,Value,Year,Commodity,Flow,Trade (USD),Weight (kg),Quantity Name,OID,Year,Description,Magnitude,Value,Year,Commodity,Flow,Trade (USD),Weight (kg),Quantity Name,Quantity
2022,93772,1.3,,GROSS DOMESTIC PRODUCT,B.1*g,2017,100,EC dollar,1993,Western calendar year,3039350000,2020,15.5077,161369000,2021,Gross National Income (GNI),1062761900,Final consumption expenditure,2638489207,2021,"Agriculture, hunting, forestry, fishing (ISIC A-B)",144408257.5,2014,37.38,2022,All Commodities,Import,589270125.3,,No Quantity,32878AADZF...,2008,GOODS EXPORTS: F.O.B.,MILLIONS OF US$,30507200,2022,Ferrous waste and scrap; of cast iron,Export,85410.741,411940,Weight in kilograms,411940
2021,95096,1.3,,"Plus: Compensation of employees - from and to the rest of the world, net",D.1,2017,100,EC dollar,1993,Western calendar year,-87445000,2019,2.6341,131391000,2020,Gross National Income (GNI),999229964.8,Household consumption expenditure (including Non-profit institutions serving households),2238120906,2021,"Mining, Manufacturing, Utilities (ISIC C-E)",220204615.5,2013,35,2022,All Commodities,Re-Export,4566597.403,,No Quantity,32878ABDZF...,2008,GOODS IMPORTS: F.O.B,MILLIONS OF US$,-343054000,2022,Ferrous waste and scrap; of cast iron,Re-Export,2666.667,48000,Weight in kilograms,48000
2020,96052,1.3,,Plus: Compensation of employees - from the rest of the world,D.1,2017,100,EC dollar,1993,Western calendar year,3737000,2018,3.0175,131144000,2019,Gross National Income (GNI),1093858934,General government final consumption expenditure,400368301,2021,Manufacturing (ISIC D),106835592.2,2012,32,2022,All Commodities,Export,37472239.96,,No Quantity,32878ACDZF...,2008,TRADE BALANCE,MILLIONS OF US$,-312547000,2022,Ferrous waste and scrap; of alloy steel (excluding stainless),Re-Export,7547.037,44012,Weight in kilograms,44012
2019,96882,1.3,,Less: Compensation of employees - to the rest of the world,D.1,2017,100,EC dollar,1993,Western calendar year,91182000,2017,3.9246,101979000,2018,Gross National Income (GNI),1057607506,Gross capital formation,925499422,2021,Construction (ISIC F),226374215.4,2011,30,2021,All Commodities,Import,446676290.7,,No Quantity,32878ADDZF...,2008,SERVICES: CREDIT,MILLIONS OF US$,145532000,2022,Ferrous waste and scrap; of alloy steel (excluding stainless),Export,33472.963,208212,Weight in kilograms,208212
2018,97613,1.3,,"Plus: Property income - from and to the rest of the world, net",D.4,2017,100,EC dollar,1993,Western calendar year,-194038000,2016,4.3036,89476000,2017,Gross National Income (GNI),1021433333,Gross fixed capital formation (including Acquisitions less disposals of valuables),925499422,2021,"Wholesale, retail trade, restaurants and hotels (ISIC G-H)",319500178.2,2010,27,2021,All Commodities,Export,35163394.41,,No Quantity,32878AEDZF...,2008,SERVICES: DEBIT,MILLIONS OF US$,-111489000,2022,Ferrous waste and scrap; of tinned iron or steel,Export,33395.185,184000,Weight in kilograms,184000
2017,98226,1.3,,Plus: Property income - from the rest of the world,D.4,2017,100,EC dollar,1993,Western calendar year,32145000,2015,3.1585,89788000,2016,Gross National Income (GNI),962451851.9,Exports of goods and services,1210892067,2021,"Transport, storage and communication (ISIC I)",275666613.3,2009,24.05,2021,All Commodities,Re-Export,2344717.775,,No Quantity,32878AFDZF...,2008,BALANCE ON GOODS AND SERVICES,MILLIONS OF US$,-278504000,2022,Ferrous waste and scrap; n.e.c. in heading no. 7204,Export,1161561.48,,No Quantity,
2016,98692,1.3,,Less:  Property income - to the rest of the world,D.4,2017,100,EC dollar,1993,Western calendar year,226182000,2014,12.3872,74702000,2015,Gross National Income (GNI),885437037,Imports of goods and services,1809831156,2021,Other Activities (ISIC J-P),1189270273,2008,23.18,2020,All Commodities,Import,394551606,,No Quantity,32878AGDZF...,2008,INCOME: CREDIT,MILLIONS OF US$,12642500,2022,Ferrous waste and scrap; n.e.c. in heading no. 7204,Re-Export,1143649.628,814625,Weight in kilograms,814625
2015,98977,1.3,,"Sum of Compensation of employees and property income - from and to the rest of the world, net",D.1+D.4,2017,100,EC dollar,1993,Western calendar year,-281482000,2013,7.9153,64031000,2014,Gross National Income (GNI),831944444.4,Gross Domestic Product (GDP),3011277549,2021,Total Value Added,2375676647,2007,22.29,2020,All Commodities,Export,24620482.71,,No Quantity,32878AHDZF...,2008,INCOME: DEBIT,MILLIONS OF US$,-48925600,2022,Ferrous waste and scrap; n.e.c. in heading no. 7204,Import,20.741,17,Weight in kilograms,17
2014,99056,1.3,,Plus: Sum of Compensation of employees and property income - from the rest of the world,D.1+D.4,2017,100,EC dollar,1993,Western calendar year,35882000,2012,12.02,59661000,2013,Gross National Income (GNI),812974074.1,Final consumption expenditure,2444589406,2020,"Agriculture, hunting, forestry, fishing (ISIC A-B)",130200399,2006,21.39599117,2020,All Commodities,Re-Export,2065686.091,,No Quantity,32878AIDZF...,2008,"BALANCE ON GOODS, SERV. & INC.",MILLIONS OF US$,-314787000,2022,Ferrous products; remelting scrap ingots,Export,10726.667,106600,Weight in kilograms,106600
2013,98975,1.3,,Less: Sum of Compensation of employees and property income - to the rest of the world,D.1+D.4,2017,100,EC dollar,1993,Western calendar year,317364000,2011,2.973,57690000,2012,Gross National Income (GNI),765600000,Household consumption expenditure (including Non-profit institutions serving households),2075954705,2020,"Mining, Manufacturing, Utilities (ISIC C-E)",202627104.9,2005,20.48780488,2019,All Commodities,Import,479834567.6,,No Quantity,32878AJDZF...,2008,"CURRENT TRANSFERS, N.I.E. : CRE",MILLIONS OF US$,40160800,2022,Ferrous products; remelting scrap ingots,Re-Export,10726.667,106600,Weight in kilograms,106600
2012,98794,1.3,,Equals: GROSS NATIONAL INCOME,B.5*g,2017,100,EC dollar,1993,Western calendar year,2757870000,2010,6.703,58201000,2011,Gross National Income (GNI),746881481.5,General government final consumption expenditure,368634701,2020,Manufacturing (ISIC D),100178625.1,2004,19.57062058,2019,All Commodities,Export,34481186.83,,No Quantity,32878AKDZF...,2008,CURRENT TRANSFERS: DEB,MILLIONS OF US$,-14838300,2022,"Iron or steel, pig iron, spiegeleisen; granules thereof",Import,1291.111,227,Weight in kilograms,227
2011,98535,1.3,,"Plus: Current transfers - from and to the rest of the world, net",D5+D61+D62,2017,100,EC dollar,1993,Western calendar year,84502000,2009,6.8811,50187000,2010,Gross National Income (GNI),731137037,Gross capital formation,770154589,2020,Construction (ISIC F),180367972.9,2003,18.64518218,2019,All Commodities,Re-Export,2495279.459,,No Quantity,32878ALDZF...,2008,"CURRENT ACCOUNT, N.I.E.",MILLIONS OF US$,-289464000,2022,Iron or non-alloy steel; ingots (excluding iron of heading no. 7203),Import,1133.333,165,Weight in kilograms,165
2010,98225,1.3,,Plus:  Current transfers - from the rest of the world,D.5-D.7,2017,100,EC dollar,1993,Western calendar year,120232000,2008,11.9168,48137000,2009,Gross National Income (GNI),708233333.3,Gross fixed capital formation (including Acquisitions less disposals of valuables),770154589,2020,"Wholesale, retail trade, restaurants and hotels (ISIC G-H)",243705286.3,2002,14.75884055,2018,All Commodities,Export,37746085.59,,No Quantity,32878BADZF...,2008,"CAPITAL ACCOUNT, N.I.E.:  CREDIT",MILLIONS OF US$,49192900,2022,Iron or non-alloy steel; primary forms (excluding ingots and iron of heading no. 7203),Import,5721.481,472,Weight in kilograms,472
2009,97886,1.3,,Less:  Current transfers - to the rest of the world,D.5-D.7,2017,100,EC dollar,1993,Western calendar year,35730000,2007,9.2204,46796000,2008,Gross National Income (GNI),783266666.7,Exports of goods and services,1138976089,2020,"Transport, storage and communication (ISIC I)",240330150.6,2001,5.128103982,2018,All Commodities,Re-Export,2621228.49,,No Quantity,32878BBDZF...,2008,CAPITAL ACCOUNT:  DEBIT,MILLIONS OF US$,-2037040,2022,"Iron or non-alloy steel; in coils, flat-rolled, of a width 600mm or more, hot-rolled, with patterns in relief",Import,1965737.035,1000887,Weight in kilograms,1000887
2008,97528,1.3,,Equals: GROSS NATIONAL DISPOSABLE INCOME,B.6g,2017,100,EC dollar,1993,Western calendar year,2842370000,2006,7.2554,36781000,2007,Gross National Income (GNI),717592592.6,Imports of goods and services,1586091412,2020,Other Activities (ISIC J-P),1253224235,2000,4.063907991,2018,All Commodities,Import,514805693,,No Quantity,32878BCDZF...,2008,"CAPITAL ACCOUNT, N.I.E.",MILLIONS OF US$,47155900,2022,"Iron or non-alloy steel; in coils, without patterns in relief, flat-rolled, of a width 600mm or more, hot-rolled, pickled, of a thickness of 4.75mm or more",Import,130625.555,67154,Weight in kilograms,67154
